indCol,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
31,Chris Wood,Burnley,EPL,38,2603,10,10,2,9.133252272382379,3.647217035293579,9.133252272382379,0.31578667096212604,0.12610431547307804,0.31578667096212604,F S,58,21,2,0,3.554675541818142,11.356351725757122
32,Troy Deeney,Watford,EPL,32,2552,9,8,5,10.230638133361936,4.68837801553309,9.469469295814633,0.3607983667721686,0.16534248487381586,0.333954638175281,F S,64,42,4,1,2.9535711146891117,13.362730728462338
33,Felipe Anderson,West Ham,EPL,36,3073,9,9,4,5.527917226776481,6.779622457921505,5.527917226776481,0.1618979988317225,0.19855711721865782,0.1618979988317225,F M,58,65,3,0,5.719295345246792,14.421116042882204
34,Diogo Jota,Wolverhampton Wanderers,EPL,33,2402,9,9,5,8.907186842523515,5.536081537604332,8.907186842523515,0.3337413887706563,0.20743019916086172,0.3337413887706563,F M S,58,27,11,0,4.578139785677195,16.1504292441532
35,Christian Eriksen,Tottenham,EPL,35,2772,8,8,12,5.66104980558157,7.882119238376617,5.66104980558157,0.18380031836303798,0.25591296228495514,0.18380031836303798,M S,83,73,3,0,9.100178128108382,16.645785599946976
36,Pedro,Chelsea,EPL,31,1777,8,8,2,5.983355518430471,3.8842074796557426,5.983355518430471,0.30303995310002385,0.19672407043838877,0.30303995310002385,F S,57,29,2,0,8.18063784763217,15.40015415661037
37,Chicharito,West Ham,EPL,25,1336,7,7,1,7.894378799945116,1.2568727899342775,7.894378799945116,0.5318069550861231,0.08466957417221929,0.5318069550861231,F S,37,5,2,0,0.7545539606362581,7.684439621865749
38,Riyad Mahrez,Manchester City,EPL,27,1333,7,7,4,6.616934344172478,5.006452023983002,5.855765521526337,0.44675475692087246,0.33802001662300835,0.3953630134563918,F M S,54,24,0,0,6.827352050691843,14.370971489697695
39,James Ward-Prowse,Southampton,EPL,26,1940,7,6,0,3.401980562135577,3.2816793685778975,2.640811724588275,0.1578238405114443,0.15224285730516018,0.12251188413038389,M S,31,47,4,0,4.128472507931292,6.868372356519103
40,Danny Ings,Southampton,EPL,24,1694,7,4,3,9.915935901924968,3.348331378772855,7.6324292700737715,0.5268206795591778,0.17789245814023433,0.4055009647618887,F S,56,28,1,0,2.754429467022419,10.713309461250901
